100306,768623,13,4921000,教育,cctv中学生初中英语
100307,768622,13,3500000,教育,cctv中学生初中物理
100308,768621,13,4908000,教育,cctv中学生初中数学
100309,768614,13,4916000,教育,cctv中学生初中生物
10031,108538,13,32180000,电视,没有蔷薇的花店
100310,768612,13,5589000,教育,cctv中学生初中历史
100311,768606,13,1395000,教育,cctv中学生初中化学
100312,768604,13,2804000,教育,cctv中学生初中地理
100315,768628,13,5684000,电影,钻石人
100317,768636,13,5201000,电影,追风游戏
100319,768625,13,5013000,电影,僵尸蜜月
10032,122455,22,6564000,,穿普拉达的女王
100320,768551,13,5432000,电影,高原如梦
100322,768679,13,5360000,电影,不可征服
100324,768494,13,15516000,电视,黑帮都市第一季
10033,108544,13,22922000,电视,美味米饭
10033,125661,22,5223000,电影,极端行为
10034,108552,13,10400000,电视,米兰达第一季
10035,108554,13,57226000,电视,秘密行动组第四季
10036,81758,13,17321000,电视,面探型男
100363,768701,13,17228000,综艺,超模之路2013
10037,108598,13,72000,电影,哈利波特7宣传片
100371,768708,13,1327000,微电影,消失的纸币
100373,768709,13,2142000,微电影,做茧
100375,768710,13,698000,微电影,我的1876
100377,768711,13,1717000,微电影,不夜城
100378,768713,13,932000,微电影,有一腿
100379,768716,13,1323000,微电影,乱事家人
10038,108593,13,5865000,电影,鬼缠身
100381,768717,13,1690000,微电影,狠爱你
100383,768719,13,6275000,电影,肉体的代价
100384,768707,13,5435000,电影,新东成西就
100385,768712,13,5461000,电影,我们结婚吧
100386,233113,13,8470000,电影,威灵顿之线
100387,768702,13,4302000,微电影,无欲不爱
100388,768705,13,5510000,电影,唐伯虎飞秋香
100389,160332,13,6779000,电影,猪堕井的那天
100390,768704,13,5230000,电影,沙海狂鲨
100391,768706,13,5761000,电影,大话g游
100392,768715,13,8490000,电影,谍魂
10040,108604,13,6108000,电影,比尔·希克斯的故事
10041,108603,13,6219000,电影,野草
10042,103955,13,60618000,电视,艺妓之变
100426,768725,13,5410000,电影,阿尔法爸爸
100427,768726,13,6141000,电影,萨凡纳传奇
100429,768728,13,7028000,电影,彩虹女神
10043,102,13,58959000,电视,眉飞色舞
100430,768730,13,4231000,电影,莉齐
100431,107111,13,5492000,电影,舞厅2之龙争舞斗
100432,768733,13,4947000,电影,赤欲情花
100434,768731,13,6745000,电影,愤怒之上
100437,768736,13,1250000,微电影,秋叶飘零
100439,768738,13,2170000,微电影,行走的青春
10044,104123,13,81425000,电视,青梅竹马
100441,768739,13,1132000,微电影,单程火车
100443,768740,13,674000,微电影,过度保护
100444,768743,13,1576000,微电影,幸福的片儿川
100445,768746,13,2952000,微电影,夜.色
100446,768747,13,544000,微电影,吃纸的人
10045,104095,13,103628000,电视,胭脂花红
10046,108599,13,23555000,电视,不再哭泣
100465,768750,13,78251000,电视,正义的重量
100467,768678,13,518000,教育,cctv中学生宣传片
100468,768689,13,2990000,教育,好学通讯社
100469,768690,13,13484000,教育,魅力中学生
100470,768773,13,211000,电视,xgirl
100471,768786,13,1136000,电视,女人帮
100472,768789,13,8881000,教育,说实在的
100475,768796,13,9900000,教育,从心开始
100476,768809,13,8983000,教育,校长的中学时代
100477,768817,13,108704000,教育,爱拼才会赢
100478,768683,13,4881000,教育,高中英语
100479,768670,13,2803000,教育,高中政治
10048,108621,13,6137000,电影,这就是英格兰
100480,768645,13,17429000,教育,西方美术绘画史艺术欣赏
100483,768593,13,56798000,其他,锁侠
100484,768592,13,63579000,其他,碎脸
100485,768591,13,35743000,其他,死亡时间表
100486,768589,13,59258000,其他,枪后有眼
100487,768587,13,54257000,其他,奇门遁甲
100489,768404,13,64736000,电视,准妈妈四重奏
10049,108622,13,5515000,电影,球场古惑仔
100493,768387,13,5056000,动漫,幻灵镇魂曲ova
100494,768386,13,10108000,动漫,黑礁第三季
100495,768382,13,1093000,动漫,河童的饲养方法
100496,768381,13,7119000,动漫,寒蝉鸣泣之时煌ova
100497,768380,13,9074000,动漫,寒蝉鸣泣之时礼ova
100498,768365,13,16475000,动漫,怪化猫
100499,768304,13,1346000,动漫,哥拉特骑士团ova
10050,108629,13,5839000,电影,苏醒
100500,768301,13,3693000,动漫,搞怪拍档剧场版
100502,768564,13,19500000,动漫,星猫历险记之快乐农庄
100505,768449,13,4967000,动漫,海暗月影ova
100506,768445,13,3481000,动漫,怪力少女ova
100507,768573,13,48009000,动漫,天眼第五部
100508,768483,13,516000,动漫,功夫料理娘ova
100509,768469,13,338000,动漫,给我牛奶ova
10051,108633,13,1640000,电影,让子弹飞特辑
100511,768810,13,4860000,电影,破风
100512,768807,13,5888000,电影,魔戒再现
100513,768805,13,5056000,电影,大喘气
100515,768802,13,7342000,电影,游泳池
100516,768800,13,4734000,电影,拳速反击
100518,768798,13,6915000,电影,钢琴别恋
10052,108635,13,3424000,电影,赵氏孤儿片段
100520,768523,13,17980000,其他,一只绣花鞋
100521,768599,13,356316000,其他,夜惊魂系列惊险故事
100522,768598,13,19986000,其他,凶心人
100523,768597,13,39073000,其他,偷窥之谜
100524,768596,13,118832000,其他,天眼
100525,768767,13,29619000,其他,天堂并不遥远
100526,768766,13,19285000,其他,天惶惶地惶惶
100527,768763,13,19786000,其他,似鬼非鬼
100528,768760,13,13474000,其他,死亡余韵
100529,768759,13,34500000,其他,死亡通知单之救赎
10053,108641,13,10255000,电影,红色警戒
100530,768758,13,37260000,其他,死亡通知单
100531,768757,13,52342000,其他,七根蜡烛
100532,768756,13,28334000,其他,末世迷踪
100533,768755,13,34745000,其他,魔鬼的交易
100534,768754,13,24637000,其他,命若悬丝
100535,768753,13,12685000,其他,明星之死
100536,768752,13,7382000,其他,迷失太平间
100537,768772,13,14120000,其他,交易泰德·威廉姆斯的贼
100538,768751,13,18826000,其他,黑色深渊
100539,768691,13,30277000,其他,黑梦
10054,108637,13,5760000,电影,惊变28周
100540,768687,13,69597000,其他,达芬奇的密码
100541,768686,13,23255000,其他,长眠不醒
100542,768608,13,79023000,其他,非缘勿扰
100543,768609,13,72019000,其他,未婚妻
100544,768610,13,130798000,其他,千金归来
100546,768814,13,37007000,教育,科科成长日记第二季
100547,768823,13,7157000,教育,儿童小故事
100548,768822,13,24618000,教育,文房四宝历史文化解读
10055,108624,13,7584000,电影,蝙蝠侠
10056,108617,13,6032000,电影,杀手们
10058,108644,13,11264000,电影,不可能的爱
10059,108495,13,56429016,电视,噢必胜奉顺英
100593,768852,13,55115000,电视,八千里路
1006,34189,13,8432000,电影,小夜刀
10060,108497,13,28750000,电视,派遣员的品格
100600,768864,13,63260000,电视,总理和我
100609,768842,13,8000000,教育,全面了解word
10061,108498,13,12437000,电视,旁听控09
100610,768866,13,2069000,微视频,让车自己说
100613,768833,13,3527000,教育,故事大赛第二季
100614,768835,13,1978000,教育,故事大赛第三季
100616,768818,13,1288000,微电影,生命树下
100619,768837,13,3309000,教育,故事大赛第四季
10062,108501,13,76335000,电视,朋友我们的传说
10062,125680,22,,电影,天堂旅行
10063,108505,13,63614000,电视,漂亮的事
100635,768692,13,7243000,教育,帮孩子学好数学
100636,768939,13,200000,综艺,2013中国音乐金钟奖流行音乐大赛
100637,768886,13,5470000,电影,心曲
10064,108508,13,25574000,电视,贫穷男子
100644,768928,13,74878000,动漫,铠甲勇士拿瓦
10065,108565,13,20400000,电视,模范秘书
100652,768765,13,34666000,动漫,奥特银河大怪兽之战
100653,768620,13,20763000,动漫,魔踪传奇
100654,768525,13,405000,动漫,海之声ova
100655,768516,13,549000,动漫,孩子来了ova
100656,768509,13,399000,动漫,谷莠地ova
100657,768500,13,53000,动漫,功夫兔之猪仔值班ova
100658,768495,13,206000,动漫,功夫兔之黑客红蜘蛛ova
100659,768487,13,362000,动漫,功夫兔之菜包狗大反击ova
10066,108517,13,20850000,电视,上海潮
100661,768836,13,47995000,动漫,天眼第三部
100662,768827,13,41795000,动漫,贝丝蜜蜂侠
100664,768813,13,52821000,动漫,粉笔世界
100665,768603,13,474000,动漫,僵尸大战植物
100666,768601,13,532000,动漫,纪念日快乐
100667,768588,13,281000,动漫,红领巾侠
100668,768577,13,149000,动漫,作业惊魂
100669,768533,13,3138000,动漫,黑岩射手ova
10067,108566,13,21861000,电视,魔女审判
100670,768530,13,425000,动漫,和斑马一起奔跑ova
100673,768777,13,32365000,其他,凶画
100674,768775,13,11301000,其他,喜欢引用吉卜林的贼
100675,768771,13,148176000,其他,网游之亡命天涯
100676,768770,13,46520000,其他,推磨坊
100677,768769,13,16683000,其他,屠宰场之舞
100678,768768,13,49960000,其他,天蝎森林
100679,768785,13,58900000,其他,贼猫
10068,20752,13,60910000,电视,魔影狂花
100680,768784,13,10508000,其他,衣柜里的贼
100681,768783,13,34867000,其他,一缕长发
100682,768782,13,66654000,其他,夜半笛声
100683,768781,13,12256000,其他,雅贼系列之研究斯宾诺莎的贼
100684,768779,13,55761000,其他,雅库玛的诅咒
100685,768778,13,22345000,其他,血魔夜惊魂
100686,768843,13,10860000,其他,催眠
100688,768839,13,12480000,其他,出嫁
100689,768838,13,36688000,其他,不在现场
10069,108518,13,16885000,电视,身份追凶第一季
100690,768826,13,51610000,其他,若相离
100691,768828,13,43609000,其他,瞧这两家子
100692,768832,13,81702000,其他,满朝文武爱上我
100693,768834,13,92215000,其他,华胥引
100694,768825,13,75115000,其他,小两口
100695,768869,13,45965000,其他,荒村公寓
100696,768868,13,40086000,其他,红棺新娘
100697,768857,13,7162000,其他,焚尸人
100698,768849,13,9372000,其他,法医相册
100699,768846,13,49129000,其他,地狱的十九层
1007,85329,13,4596000,电影,英雄少年
10070,50609,13,26608000,电视,你不是犯人吧
100700,768844,13,18254000,其他,大笑的警察
100704,768898,13,5846000,电影,奥克斯战争
100707,768924,13,5445000,电影,苏利文的旅行
100708,768922,13,5084000,电影,恐惧幻影
10071,108525,13,13967000,电视,深夜食堂
100711,768912,13,7139000,电影,战场上快乐的圣诞节
100715,768873,13,21342000,其他,戒指
100716,768870,13,31818000,其他,基因之战
10072,108568,13,61080000,电视,巴比伦五号第一季
100725,768908,13,36631000,教育,med
100726,768949,13,24244000,教育,2013公务员行测
10073,108528,13,65267000,电视,神力女超人第三季
100730,768936,13,979000,微电影,不是志明与春娇
